Region,Year,mean_ndvi,mean_bsi,mean_ndwi,Area_Name,Final_Label,Area_Trend,Risk_Factor,Area_Risk_Trend,Mean_Rainfall_mm
1,2024-01-01,-0.7916297076874405,0.2040039901318288,0.7631585848873609,Lake Nakuru,1,Overall Loss,1.7587922827066302,Severe Risk Loss,17.753124608896307
1,2025-01-01,-0.7254650403330886,0.1736979380390899,0.7351444487600884,Lake Nakuru,1,Overall Loss,1.634307427132267,Severe Risk Loss,8.065067884063213
14,2019-01-01,2.57685158051151,-2.1815235136731577,-2.293672955555825,Kalama Community Wildlife Conservancy,2,Overall Gain,7.052048049740494,High Risk Gain,11.904983225978375
14,2020-01-01,2.592040242804901,-2.202276450404214,-2.256066162824388,Kalama Community Wildlife Conservancy,2,Overall Gain,7.050382856033503,High Risk Gain,11.201928658509482
14,2021-01-01,2.726082950428543,-2.485331057858196,-2.2953213553855214,Kalama Community Wildlife Conservancy,2,Overall Gain,7.50673536367226,High Risk Gain,7.133166061635641
14,2022-01-01,1.2166056617175085,-1.7977426361707731,-0.815373548788912,Kalama Community Wildlife Conservancy,2,Overall Gain,3.8297218466771934,High Risk Gain,6.018085985994409
14,2023-01-01,0.7366480070262558,-1.217335673042476,-0.4224886281623209,Kalama Community Wildlife Conservancy,2,Overall Gain,2.376472308231053,High Risk Gain,13.490473191884448
14,2024-01-01,1.1152212984287089,-1.636447310152313,-0.7056638652595593,Kalama Community Wildlife Conservancy,2,Overall Gain,3.457332473840581,High Risk Gain,9.78602312271749
14,2025-01-01,1.313439553276837,-1.9949076079303223,-0.9314080511805398,Kalama Community Wildlife Conservancy,2,Overall Gain,4.239755212387699,High Risk Gain,3.0714176684147545
9,2019-01-01,-0.5294404415604708,1.778179342288002,-0.6276455060367521,Hanshak-Nyongoro Community Conservancy,0,Overall Loss,2.9352652898852254,Severe Risk Loss,15.28766532045444
9,2020-01-01,0.110475372969246,1.3001523292051445,-0.8814217102186511,Hanshak-Nyongoro Community Conservancy,0,Overall Loss,2.292049412393041,Severe Risk Loss,11.910890995766684
9,2021-01-01,-0.4559441735911156,1.8229191287636293,-0.6021150865543158,Hanshak-Nyongoro Community Conservancy,0,Overall Loss,2.8809783889090608,Severe Risk Loss,8.134455122090142
9,2022-01-01,-0.9364424755101474,0.9670503123103144,0.5012933371462976,Hanshak-Nyongoro Community Conservancy,1,Overall Loss,2.4047861249667597,Severe Risk Loss,8.184933978478984
9,2023-01-01,-0.7676953934557209,0.7647162698771568,0.4253294147478727,Hanshak-Nyongoro Community Conservancy,1,Overall Loss,1.9577410780807505,Severe Risk Loss,17.646312094081118
9,2024-01-01,-0.5777677620978826,0.5900667191129593,0.3772456136417997,Hanshak-Nyongoro Community Conservancy,1,Overall Loss,1.5450800948526415,Severe Risk Loss,10.857143553910724
9,2025-01-01,-0.919874226421771,0.8965866229591718,0.585872102894371,Hanshak-Nyongoro Community Conservancy,1,Overall Loss,2.4023329522753136,Severe Risk Loss,0.869261433146301
72,2019-01-01,0.5075537756669732,0.7740864810805036,-0.842072252148823,Chepkitale,0,Overall Stable,2.1237125088963,Stable,27.61731420735518
72,2020-01-01,1.3834384566516955,-0.2401736211754284,-1.3988931367966575,Chepkitale,2,Overall Stable,3.0225052146237816,Stable,33.66721794659297
72,2021-01-01,0.4584127469005651,0.8420131652807434,-0.6982030327097972,Chepkitale,0,Overall Stable,1.9986289448911057,Stable,22.284063735448445
72,2022-01-01,-0.4525831787139742,0.4351865487377211,0.4888842836348075,Chepkitale,1,Overall Stable,1.3766540110865029,Stable,24.263563593319613
72,2023-01-01,-0.605318946826182,0.499641305821404,0.5550551542865775,Chepkitale,1,Overall Stable,1.6600154069341635,Stable,22.00109996331621
72,2024-01-01,0.027111209844473,-0.2701209578651378,0.1248678553610366,Chepkitale,1,Overall Stable,0.4221000230706475,Stable,26.690955618551488
72,2025-01-01,-0.2351861370678824,0.133296204730537,0.3109336600010189,Chepkitale,1,Overall Stable,0.6794160017994385,Stable,8.42259778075748
70,2019-01-01,-0.4126121612347397,1.3629811941885104,-0.1032106468764221,Central Island,0,Overall Stable,1.8788040022996724,Stable,9.044733279086904
